volatility_336_96_MTST_custom_ftM_sl336_ll0_pl96_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:0.9925909638404846, mae:0.5579546093940735, rse:0.5531786680221558

volatility_336_192_MTST_custom_ftM_sl336_ll0_pl192_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:1.2269151210784912, mae:0.6925646662712097, rse:0.6573426127433777

volatility_336_336_MTST_custom_ftM_sl336_ll0_pl336_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:1.626616358757019, mae:0.8335557579994202, rse:0.8046277165412903

volatility_336_96_MTST_custom_ftM_sl336_ll0_pl96_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:0.9925909638404846, mae:0.5579546093940735, rse:0.5531786680221558

volatility_336_192_MTST_custom_ftM_sl336_ll0_pl192_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:1.2269151210784912, mae:0.6925646662712097, rse:0.6573426127433777

volatility_336_336_MTST_custom_ftM_sl336_ll0_pl336_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:1.626616358757019, mae:0.8335557579994202, rse:0.8046277165412903

volatility_336_96_MTST_custom_ftM_sl336_ll0_pl96_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:0.9925909638404846, mae:0.5579546093940735, rse:0.5531786680221558

volatility_336_192_MTST_custom_ftM_sl336_ll0_pl192_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:1.2269151210784912, mae:0.6925646662712097, rse:0.6573426127433777

volatility_336_336_MTST_custom_ftM_sl336_ll0_pl336_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:1.626616358757019, mae:0.8335557579994202, rse:0.8046277165412903

volatility_336_96_MTST_custom_ftM_sl336_ll0_pl96_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:0.9925938248634338, mae:0.5579550862312317, rse:0.5531794428825378

volatility_336_192_MTST_custom_ftM_sl336_ll0_pl192_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:1.2269151210784912, mae:0.6925646662712097, rse:0.6573426127433777

volatility_336_336_MTST_custom_ftM_sl336_ll0_pl336_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:1.626616358757019, mae:0.8335557579994202, rse:0.8046277165412903

volatility_336_96_MTST_custom_ftM_sl336_ll0_pl96_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:0.9925938248634338, mae:0.5579550862312317, rse:0.5531794428825378

